City,Code
Adelaide,0
Albany,1
Albury,2
AliceSprings,3
BadgerysCreek,4
Ballarat,5
Bendigo,6
Brisbane,7
Cairns,8
Canberra,9
Cobar,10
CoffsHarbour,11
Dartmoor,12
Darwin,13
GoldCoast,14
Hobart,15
Katherine,16
Launceston,17
Melbourne,18
MelbourneAirport,19
Mildura,20
Moree,21
MountGambier,22
MountGinini,23
Newcastle,24
Nhil,25
NorahHead,26
NorfolkIsland,27
Nuriootpa,28
PearceRAAF,29
Penrith,30
Perth,31
PerthAirport,32
Portland,33
Richmond,34
Sale,35
SalmonGums,36
Sydney,37
SydneyAirport,38
Townsville,39
Tuggeranong,40
Uluru,41
WaggaWagga,42
Walpole,43
Watsonia,44
Williamtown,45
Witchcliffe,46
Wollongong,47
Woomera,48
